Type,TurnID,Category,Timestamp,Message
Log,0,Temp,17030171.216689,[PlayerController] Calling OnTBSCharacterPossessed for: BP_PlayerUnit_C_0
Log,0,Temp,17030171.216705,UnitManager::OnTBSCharacterPossessed - Event received. PlayerStartRoom is at: X=6000.000 Y=2650.000 Z=0.000
Warning,0,Temp,17030171.216922,SpawnLocations: Searching for 1 spawns in room at X=6000.000 Y=2650.000 Z=0.000 with half-extents X=200.000 Y=250.000 Z=50.000
Log,0,Temp,17030171.216935,"SpawnLocations: Attempt 0 for spawn 0. Candidate: X=5850.000 Y=2550.000 Z=0.000, Cell: (58,25), Status: 2, Occupied: 0"
Warning,0,Temp,17030171.216946,"SpawnLocations: Found valid spawn at X=5850.000 Y=2550.000 Z=0.000 (Cell: 58,25)"
Log,0,Temp,17030171.216959,UnitManager::OnTBSCharacterPossessed - Final Spawn Location: X=5850.000 Y=2550.000 Z=0.000
Display,0,UnitMovement,17030171.217067,[UnitMovementComponent] UpdateSpeedFromStats: PixelsPerSec 300.0 -> 600.0 (Stat=600.0)
Log,0,UnitBase,17030171.217083,"SetStatVars: Team=0, MovementRange=3"
Log,0,Temp,17030171.217095,[UnitManager] Set PlayerState LyraPlayerState_TBS_0 team id to 0 via IGenericTeamAgentInterface
Log,0,Temp,17030171.217106,[UnitManager] Registered player BP_PlayerUnit_C_0 to TeamSubsystem with TeamID=0 (Success=1)
Warning,0,Temp,17030171.217142,"[UnitManager::SpawnEnemyUnits] START - DesiredCount=-1, bEnemiesSpawned=0"
Log,0,Temp,17030171.217154,"[UnitManager] Calculated move stats: Dex=5 Con=5 -> MovementRange=1, NumberOfMoves=1, CurrentMovement=1"
Log,0,Temp,17030171.217166,"[UnitManager] Calculated move stats: Dex=6 Con=7 -> MovementRange=1, NumberOfMoves=1, CurrentMovement=1"
Log,0,Temp,17030171.217178,"[UnitManager] Calculated move stats: Dex=5 Con=7 -> MovementRange=1, NumberOfMoves=1, CurrentMovement=1"
Log,0,Temp,17030171.217188,"[UnitManager] Calculated move stats: Dex=8 Con=6 -> MovementRange=2, NumberOfMoves=1, CurrentMovement=2"
Log,0,Temp,17030171.217197,"[UnitManager] Calculated move stats: Dex=6 Con=8 -> MovementRange=1, NumberOfMoves=2, CurrentMovement=2"
Log,0,Temp,17030171.217207,[UnitManager::SpawnEnemyUnits] Spawning 5 enemies in PlayerStartRoom at X=6000.000 Y=2650.000 Z=0.000
Warning,0,Temp,17030171.217219,SpawnLocations: Searching for 5 spawns in room at X=6000.000 Y=2650.000 Z=0.000 with half-extents X=200.000 Y=250.000 Z=50.000
Log,0,Temp,17030171.217230,"SpawnLocations: Attempt 0 for spawn 0. Candidate: X=6050.000 Y=2550.000 Z=0.000, Cell: (60,25), Status: 3, Occupied: 0"
Warning,0,Temp,17030171.217239,"SpawnLocations: Found valid spawn at X=6050.000 Y=2550.000 Z=0.000 (Cell: 60,25)"
Log,0,Temp,17030171.217249,"SpawnLocations: Attempt 0 for spawn 1. Candidate: X=6150.000 Y=2850.000 Z=0.000, Cell: (61,28), Status: 3, Occupied: 0"
Warning,0,Temp,17030171.217260,"SpawnLocations: Found valid spawn at X=6150.000 Y=2850.000 Z=0.000 (Cell: 61,28)"
Log,0,Temp,17030171.217271,"SpawnLocations: Attempt 0 for spawn 2. Candidate: X=5950.000 Y=2650.000 Z=0.000, Cell: (59,26), Status: 3, Occupied: 0"
Warning,0,Temp,17030171.217280,"SpawnLocations: Found valid spawn at X=5950.000 Y=2650.000 Z=0.000 (Cell: 59,26)"
Log,0,Temp,17030171.217290,"SpawnLocations: Attempt 1 for spawn 3. Candidate: X=5850.000 Y=2550.000 Z=0.000, Cell: (58,25), Status: 2, Occupied: 1"
Log,0,Temp,17030171.217299,"SpawnLocations: Attempt 3 for spawn 3. Candidate: X=5950.000 Y=2550.000 Z=0.000, Cell: (59,25), Status: 3, Occupied: 0"
Warning,0,Temp,17030171.217323,"SpawnLocations: Found valid spawn at X=5950.000 Y=2550.000 Z=0.000 (Cell: 59,25)"
Log,0,Temp,17030171.217333,"SpawnLocations: Attempt 0 for spawn 4. Candidate: X=6050.000 Y=2650.000 Z=0.000, Cell: (60,26), Status: 3, Occupied: 0"
Warning,0,Temp,17030171.217346,"SpawnLocations: Found valid spawn at X=6050.000 Y=2650.000 Z=0.000 (Cell: 60,26)"
Log,0,Temp,17030171.217356,[UnitManager::SpawnEnemyUnits] Found 5 spawn locations in PlayerStartRoom
Log,0,Temp,17030171.217366,"[UnitManager::SpawnEnemyUnits] Spawning enemy at: X=6050.000 Y=2550.000 Z=44.500 (Z=44.50, HalfHeight=44.00)"
Log,0,EnemyUnit,17030171.217376,[Constructor] ASC created for enemy unit (deferred controller spawn enabled)
Log,0,BlueprintUserMessages,17030171.217918,[ABP_TBS_Mannequin_Base_C_0] false
Log,0,AIController,17030171.219836,"[LyraTBSAIController] Constructor: bWantsPlayerState=true, TeamId=NoTeam"
Log,0,AttackAbility,17030171.219969,"[GA_AttackBase] Constructor: Registered trigger GameplayEvent.Intent.Attack, ActivationBlocked=2, ActivationOwned=1"
Log,0,EnemyUnit,17030171.220040,[PossessedBy] ========== START: BP_EnemyUnitBase_C_0 ==========
Display,0,EnemyUnit,17030171.220051,[PossessedBy] EnemyPawnData=TBS_EnemyPawnData (before Super)
Log,0,EnemyUnit,17030171.220061,[PossessedBy] ✅ SetPawnData before Super: TBS_EnemyPawnData
Log,0,AttackAbility,17030171.220093,"[GA_AttackBase] Constructor: Registered trigger GameplayEvent.Intent.Attack, ActivationBlocked=2, ActivationOwned=1"
Log,0,EnemyUnit,17030171.220104,[GrantAbilitySets] AbilitySet granted: AS_TBS_UnitCore for BP_EnemyUnitBase_C_0
Log,0,EnemyUnit,17030171.220114,[GrantAbilitySets] ✅ Abilities=4 AttrSets=2 for BP_EnemyUnitBase_C_0
Log,0,EnemyUnit,17030171.220123,[OnAbilitySystemInitialized] ASC has 2 AttributeSets
Log,0,EnemyUnit,17030171.220133,[OnAbilitySystemInitialized]   - Found HealthSet: LyraHealthSet
Log,0,EnemyUnit,17030171.220144,[OnAbilitySystemInitialized] ✅ HealthComponent initialized for BP_EnemyUnitBase_C_0
Log,0,EnemyUnit,17030171.220154,[EnemyUnitBase] Added Faction.Enemy to BP_EnemyUnitBase_C_0
Log,0,EnemyUnit,17030171.220164,[PossessedBy] ✅ ASC initialized via PawnExtension (Owner=BP_EnemyUnitBase_C_0)
Log,0,EnemyUnit,17030171.220172,[PossessedBy] ========== END: BP_EnemyUnitBase_C_0 ==========
Log,0,AIController,17030171.220291,"[LyraTBSAIController] OnPossess: Pawn=BP_EnemyUnitBase_C_0, PlayerState=LyraPlayerState_TBS_1"
Log,0,AIController,17030171.220303,[LyraTBSAIController] LyraTBSAIController_0 SetGenericTeamId: 255 -> 2
Log,0,AIController,17030171.220314,[LyraTBSAIController] OnPossess: TeamId set from NoTeam(255) to Enemy(2)
Log,0,AIController,17030171.220326,"[LyraTBSAIController] InitializeASC: Server-side ASC initialized for Pawn=BP_EnemyUnitBase_C_0, PlayerState=LyraPlayerState_TBS_1"
Log,0,EnemyUnit,17030171.220335,[OnAbilitySystemInitialized] ASC has 2 AttributeSets
Log,0,EnemyUnit,17030171.220343,[OnAbilitySystemInitialized]   - Found HealthSet: LyraHealthSet
Log,0,EnemyUnit,17030171.220353,[OnAbilitySystemInitialized] ✅ HealthComponent initialized for BP_EnemyUnitBase_C_0
Warning,0,UnitBase,17030171.220362,[PostInitializeComponents] ✅ ASC callbacks registered for BP_EnemyUnitBase_C_0
Log,0,EnemyUnit,17030171.220373,[OnAbilitySystemInitialized] ASC has 2 AttributeSets
Log,0,EnemyUnit,17030171.220382,[OnAbilitySystemInitialized]   - Found HealthSet: LyraHealthSet
